title,make,model,year,condition,transmission,price
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015,Mercedes-Benz,M Class,2015,Foreign used,Automatic,28500000.0
Lexus RX 2012 Black,Lexus,RX,2012,Local used,Automatic,16500000.0
Honda Accord 2007 Gold,Honda,Accord,2007,Local used,Automatic,2750000.0
Toyota Camry SE Limited Edition 4dr Sedan (2.5L 4cyl 6A) 2012 Red,Toyota,Camry SE,2012,Local used,Automatic,11850000.0
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2012 Gray,Toyota,Camry SE,2012,Local used,Automatic,10300000.0
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,Foreign used,Automatic,14900000.0
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6AM) 2010 Silver,Toyota,Camry SE,2010,Foreign used,Automatic,11000000.0
Honda Accord 2013 Black,Honda,Accord,2013,Local used,Automatic,11800000.0
Toyota Camry SE 4rd Sedan (2.4L 4cyl 5M) 2004 Gold,Toyota,Camry SE,2004,Local used,Automatic,2200000.0
Lexus ES 350 2007 Black,Lexus,ES 350,2007,Foreign used,Automatic,11500000.0
Toyota Highlander Limited V6 2005 Gold,Toyota,Highlander Limited,2005,Foreign used,Automatic,12000000.0
Honda CR-V 2013 White,Honda,CR-V,2013,Local used,Automatic,12500000.0
Honda Accord 2010 Maroon,Honda,Accord,2010,Local used,Automatic,7500000.0
Hyundai Sonata 2014 Gray,Hyundai,Sonata,2014,Foreign used,Automatic,11800000.0
Mercedes-Benz C300 2008 White,Mercedes-Benz,C300,2008,Local used,Automatic,8600000.0
Peugeot 307 2007 Gray,Peugeot,307,2007,Local used,Manual,4500000.0
Acura MDX 2007 Silver,Acura,MDX,2007,Local used,Automatic,5880000.0
BMW 3 Series 2007 White,BMW,3 Series,2007,Local used,Automatic,6700000.0
Lexus ES 330 Sedan 2004 Silver,Lexus,ES 330,2004,Foreign used,Automatic,9000000.0
Toyota Camry 2020 Black,Toyota,Camry,2020,Local used,Automatic,24000000.0
Honda Accord 2017 Blue,Honda,Accord,2017,Foreign used,Automatic,18200000.0
Lexus IS 2014 Black,Lexus,IS,2014,Foreign used,Automatic,19200000.0
Hyundai Sonata Sport 2019 Black,Hyundai,Sonata Sport,2019,Foreign used,Automatic,21300000.0
Peugeot 307 2007 Maroon,Peugeot,307,2007,Local used,Automatic,5900000.0
Toyota Venza 2013 Silver,Toyota,Venza,2013,Local used,Automatic,15800000.0
Honda Accord 2007 Gray,Honda,Accord,2007,Local used,Automatic,4300000.0
Toyota Matrix 2007 Blue,Toyota,Matrix,2007,Local used,Automatic,5900000.0
Toyota Venza 2013 Black,Toyota,Venza,2013,Foreign used,Automatic,19000000.0
Acura RDX Base FWD 2016 Black,Acura,RDX Base,2016,Local used,Automatic,20160000.0
Lexus RX 350 2018 White,Lexus,RX 350,2018,Foreign used,Automatic,41000000.0
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2013 Black,Toyota,Corolla S,2013,Foreign used,Automatic,13300000.0
