title,make,model,year,condition,transmission,price
Lexus ES 350 FWD 2016 Red,Lexus,ES 350,2016,foreign used,automatic,"₦ 23,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014 Black,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 21,800,000"
Lexus RX 350 F Sport AWD 2018 White,Lexus,RX 350,2018,foreign used,automatic,"₦ 56,000,000"
Toyota Venza V6 2010 Black,Toyota,Venza V6,2010,foreign used,automatic,"₦ 18,500,000"
Honda Accord 2005 Gray,Honda,Accord,2005,local used,automatic,"₦ 4,100,000"
Pontiac Vibe 2006 Blue,Pontiac,Vibe,2006,local used,automatic,"₦ 7,300,000"
Ford Edge 2013 Black,Ford,Edge,2013,local used,automatic,"₦ 7,500,000"
Ford Edge 2015 Blue,Ford,Edge,2015,foreign used,automatic,"₦ 13,622,000"
Ford Edge Sport 4dr AWD 2017 Blue,Ford,Edge Sport,2017,local used,automatic,"₦ 15,600,000"
Nissan Frontier XE-V6 4x4 Crew Cab 116.1 in. WB 2000 Black,Nissan,Frontier XE-V6,2000,local used,automatic,"₦ 5,700,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry SE,2013,foreign used,automatic,"₦ 14,800,000"
Toyota Yaris iA 1.5 FWD 2018 Gray,Toyota,Yaris iA,2018,foreign used,automatic,"₦ 17,900,000"
Lexus ES 350 FWD 2013 Black,Lexus,ES 350,2013,local used,automatic,"₦ 18,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2017 Black,Toyota,Camry SE,2017,foreign used,automatic,"₦ 17,500,000"
Toyota Highlander Limited Platinum 4dr SUV AWD (3.5L 6cyl 6A) 2015,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 33,500,000"
Toyota Highlander Limited Platinum 4dr SUV AWD (3.5L 6cyl 6A) 2015,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 33,500,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2014 Burgundy,Toyota,Highlander Limited,2014,foreign used,automatic,"₦ 31,500,000"
Mercedes-Benz CLA-Class AMG CLA 45 4MATIC Sedan 2014 Silver,Mercedes-Benz,CLA-Class AMG,2014,foreign used,automatic,"₦ 29,200,000"
